7115	201524
2697	2948
2009	3680
4070	4480
4401	6951
3026	2129
6897	2688
1697	2237
769	3479
6615	2785
2223	7553
4551	3787
4439	2871
3072	2662
4266	4076
766	5058
582	4605
3027	1097
2411	3538
23	810
3813	3453
5246	5392
1075	1717
1865	6560
271	339
1473	722
417	172
1992	2675
177	849
3388	15
275	1717
3854	3089
7378	7090
2963	769
853	42
1644	1997
214	81
1284	1549
3451	2456
1754	1537
5182	2369
710	3456
1997	1644
2411	3126
6246	1915
4400	3447
626	280
6243	2565
3050	2114
1549	2754
2400	1820
730	697
1756	1758
5819	5199
424	310
3560	4481
5753	6068
1075	4448
4483	4712
1969	1555
291	4186
5022	5053
1133	4468
2646	3948
1847	2354
601	600
3642	6523
4422	3352
7450	7231
1967	1754
312	1296
1032	1520
3635	4290
2251	1754
2231	2504
3164	2065
1299	1485
2592	663
7277	6460
319	403
7564	7908
139	743
12	274
1368	3243
6037	4041
2535	583
4786	7879
7699	7666
3392	3024
7553	122
2135	1374
3653	2693
3580	1538
313	72
56	1792
422	26
1563	1278
3641	3615
6280	7529
5638	3642
127	232
4482	5020
2593	3033
27	274
6665	5806
3537	2711
5872	5189
1571	1922
1888	1729
8246	5800
4471	3451
8019	6946
3457	5327
975	1571
10	664
4315	3673
4159	4220
766	4453
7478	3462
3309	2474
7449	7279
3772	2940
5335	2225
4999	1169
4687	4073
7062	7050
693	694
2594	3130
6000	2565
2452	7047
3522	4558
356	352
5342	7063
3020	3338
559	1538
2243	2242
3445	4797
6347	5193
4795	1346
4335	2674
2328	1835
395	7553
3020	3030
7414	7278
6043	6624
4547	2369
5691	5886
4037	6613
6006	4748
4558	2688
1985	2623
4037	127
5697	3586
1919	1977
1679	1166
6327	6833
2129	4424
20	429
5130	2658
5226	1542
3168	3346
2092	62
4347	7517
2595	2354
232	13
3496	2623
308	707
47	10
1751	3371
826	1970
3346	2229
8293	2472
1783	1377
2414	1956
3956	5775
5378	6900
254	677
4233	1542
6059	6056
3447	4041
2703	3429
6870	6873
2066	1236
1166	974
177	972
706	24
1726	173
1580	1247
842	56
805	1222
5182	5946
4953	3636
5308	3366
3457	7478
1470	6251
5775	5053
6869	6270
136	7050
4964	5079
996	6566
317	429
8287	489
994	710
5188	5454
2181	319
3897	5089
3946	1608
5423	5022
2255	2323
1063	6832
71	427
304	789
3752	4795
1689	1487
4485	4232
21	35
3586	2595
2851	3641
7188	6299
7057	6043
74	257
2010	5020
663	710
766	4247
3655	4110
2356	2707
3982	2276
2416	2744
2707	2617
4424	3032
465	3806
1984	2485
2651	7632
3291	3168
191	1842
3276	2700
5160	5392
2256	4051
4037	5923
236	684
371	567
3352	4191
1549	2721
789	2307
5933	68
988	3173
2781	1154
5798	3787
3965	6344
5196	4875
5796	7632
6737	4948
2576	988
7005	2452
7080	7882
6608	5871
1688	935
1029	999
4289	4144
956	2508
4099	1164
2576	2144
